날짜,종가,오픈,고가,저가,거래량,변동 %
2010-08-01,777.29,777.29,777.29,777.29,385.93M,-5.36%
2010-09-01,797.54,797.54,797.54,797.54,381.99M,2.61%
2010-10-01,789.57,789.57,789.57,789.57,466.75M,-1.00%
2010-11-01,807.79,807.79,807.79,807.79,521.07M,2.31%
2010-12-01,920.57,920.57,920.57,920.57,547.60M,13.96%
2011-01-01,886.36,886.36,886.36,886.36,530.39M,-3.72%
2011-02-01,846.35,846.35,846.35,846.35,362.84M,-4.51%
2011-03-01,889.15,889.15,889.15,889.15,440.74M,5.06%
2011-04-01,893.15,893.15,893.15,893.15,566.39M,0.45%
2011-05-01,808.9,902.62,903.16,791.86,430.30M,-9.43%
2011-06-01,829.58,814.07,842.68,782.93,378.18M,2.56%
2011-07-01,849.07,836.92,872.78,820.18,381.48M,2.35%
2011-08-01,735.87,859.61,861.86,661.26,514.72M,-13.33%
2011-09-01,679.36,736.83,753.19,603.3,510.25M,-7.68%
2011-10-01,727.98,643.2,761.77,627.26,451.06M,7.16%
2011-11-01,674.7,719.66,729.07,633.49,375.41M,-7.32%
2011-12-01,648.51,701.69,710.17,621.11,351.33M,-3.88%
2012-01-01,724.6,647.43,728.27,629.43,367.68M,11.73%
2012-02-01,730.6,719.66,761.62,717.07,390.22M,0.83%
2012-03-01,744.81,734.2,780.5,705.95,319.54M,1.94%
2012-04-01,691.4,748.03,763.16,686.66,232.50M,-7.17%
2012-05-01,662.27,694.12,715.19,639.18,249.50M,-4.21%
2012-06-01,674.77,655.41,697.21,642.92,232.48M,1.89%
2012-07-01,649.68,679.97,689.7,601.86,238.31M,-3.72%
2012-08-01,657.9,644.01,684.95,627.13,250.36M,1.27%
2012-09-01,689.01,658.12,719.33,645.34,297.80M,4.73%
2012-10-01,660.89,690.76,693.96,654.45,191.20M,-4.08%
2012-11-01,639.4,654.53,664.58,617.58,216.81M,-3.25%
2012-12-01,680.97,639.49,694.15,630.41,229.12M,6.50%
2013-01-01,715.38,686.84,740.52,679.05,292.97M,5.05%
2013-02-01,735.7,716.14,741.52,695.38,261.56M,2.84%
2013-03-01,708.96,735.21,741.65,677.34,231.30M,-3.63%
2013-04-01,685.58,709.8,711.23,664.51,222.12M,-3.30%
2013-05-01,707.18,682.75,722.45,665.17,246.16M,3.15%
2013-06-01,661.72,704.27,710.2,636.15,209.14M,-6.43%
2013-07-01,690.48,655.54,694.66,650.32,192.65M,4.35%
2013-08-01,680.15,692.1,710.78,647.86,170.40M,-1.50%
2013-09-01,712.36,679.2,732,677.17,185.17M,4.74%
2013-10-01,747.22,711.59,769.98,708.55,217.32M,4.89%
2013-11-01,729.5,747.19,748.53,698.28,216.76M,-2.37%
2013-12-01,760.99,734.25,761.2,701.55,233.53M,4.32%
2014-01-01,722.44,766.19,770.41,697.94,200.32M,-5.07%
2014-02-01,719.34,713.95,724.94,681.67,226.04M,-0.43%
2014-03-01,714.57,714.17,721.15,682.94,214.71M,-0.66%
2014-04-01,693.93,713.59,725.78,688.18,260.54M,-2.89%
2014-05-01,700.26,697.49,735.28,682.79,217.25M,0.91%
2014-06-01,712.65,703.28,724.88,697.42,193.10M,1.77%
2014-07-01,790.03,710.21,805.32,705.65,396.00M,10.86%
2014-08-01,808.74,791.56,826.18,777.46,300.85M,2.37%
2014-09-01,770.59,806.31,825.7,765.76,204.11M,-4.72%
2014-10-01,794.33,769.97,803.71,735.55,252.95M,3.08%
2014-11-01,780.54,792.04,805.23,772.05,243.78M,-1.74%
2014-12-01,721.21,774.43,782.1,721.21,258.34M,-7.60%
2015-01-01,721.06,717.35,743.26,694.4,281.98M,-0.02%
2015-02-01,704.38,716.89,734.94,690.03,212.29M,-2.31%
2015-03-01,708.26,702.84,717.29,665.73,391.38M,0.55%
2015-04-01,768.75,707.35,803.37,688.38,605.01M,8.54%
2015-05-01,751.7,774.37,791.94,738.38,331.37M,-2.22%
2015-06-01,723.29,747.56,748.58,703.04,349.11M,-3.78%
2015-07-01,712.84,721.91,726.98,669.05,360.04M,-1.44%
2015-08-01,674.9,712.07,720.15,647.23,311.06M,-5.32%
2015-09-01,681.47,671.17,698.28,645.25,266.72M,0.97%
2015-10-01,718.71,678.39,736.93,672.04,325.62M,5.46%
2015-11-01,673.17,722.86,729.13,670.08,238.59M,-6.34%
2015-12-01,655.25,674.19,681.64,650.33,280.85M,-2.66%
2016-01-01,627.4,650.27,653.03,582.47,401.73M,-4.25%
2016-02-01,621.56,626.1,645.96,608.84,294.65M,-0.93%
2016-03-01,662.24,630.72,673.47,628.53,334.42M,6.54%
2016-04-01,671.65,664.17,689.97,637.44,357.86M,1.42%
2016-05-01,644.16,668.88,669.07,630.4,277.66M,-4.09%
2016-06-01,615.34,639.74,662.02,595.01,298.70M,-4.47%
2016-07-01,648.65,616.84,662.41,595.47,268.16M,5.41%
2016-08-01,668.04,650.7,675.09,639.35,282.06M,2.99%
2016-09-01,666.44,668.82,688.79,654.62,199.27M,-0.24%
2016-10-01,718.09,673.58,732.34,664.19,245.26M,7.75%
2016-11-01,714.26,718.3,738.48,687.05,266.62M,-0.53%
2016-12-01,704.02,718.13,746.4,702.82,251.65M,-1.43%
2017-01-01,731.63,703.04,741.23,695.29,312.99M,3.92%
2017-02-01,733.01,733.66,757.35,722.98,300.70M,0.19%
2017-03-01,749.24,748.78,786.98,733.9,356.40M,2.21%
2017-04-01,772.92,749.06,789.72,731.07,292.54M,3.16%
2017-05-01,824.5,778.01,836.2,777.57,378.14M,6.67%
2017-06-01,864.53,820.98,877.33,816.56,488.04M,4.86%
2017-07-01,915.98,869.3,929.11,860.34,395.54M,5.95%
2017-08-01,870.29,914,934.57,864.51,374.17M,-4.99%
2017-09-01,851.5,869.3,875.18,799.1,310.68M,-2.16%
2017-10-01,872.47,864.1,898.57,852.75,264.59M,2.46%
2017-11-01,861.29,866.73,885.95,840.45,393.63M,-1.28%
2017-12-01,875.83,864.06,892.39,840.43,301.84M,1.69%
2018-01-01,943.18,879.91,951.44,868.14,390.47M,7.69%
2018-02-01,883.92,940.25,943.12,856.86,305.81M,-6.28%
2018-03-01,835.97,880.24,880.59,822.26,338.93M,-5.42%
2018-04-01,860.62,835.77,865.11,791.79,366.02M,2.95%
2018-05-01,782.05,861.13,861.34,781.98,318.91M,-9.13%
2018-06-01,779.74,786.21,840.29,771.2,275.44M,-0.30%
2018-07-01,783.89,779.74,803.82,757.24,263.69M,0.53%
2018-08-01,765.18,786.55,793.85,747.49,259.76M,-2.39%
2018-09-01,802.99,762.84,804.12,745.92,198.46M,4.94%
2018-10-01,729.34,805.24,816.37,712.36,298.97M,-9.17%
2018-11-01,724.71,733.8,755.43,721.9,288.34M,-0.63%
2018-12-01,703.99,733.33,740.24,694.87,261.16M,-2.86%
2019-01-01,736.07,707.48,741.82,679.33,298.76M,4.56%
2019-02-01,731.21,737.76,752.16,724.92,216.36M,-0.66%
2019-03-01,702.91,730.65,737.33,693.79,279.89M,-3.87%
2019-04-01,731.24,711.55,750.29,710.82,279.99M,4.03%
2019-05-01,703.86,727.91,739.84,700.85,302.59M,-3.74%
2019-06-01,724.73,701.57,731.06,700.66,248.87M,2.97%
2019-07-01,683.91,731.53,732.91,680.44,241.02M,-5.63%
2019-08-01,630.39,682.75,689.54,607.46,292.83M,-7.83%
2019-09-01,658.17,626.29,682.08,624.27,245.04M,4.41%
2019-10-01,638.93,658.12,666.64,623.36,246.04M,-2.92%
2019-11-01,668.86,639.58,683.87,638.34,282.94M,4.68%
