날짜,종가,오픈,고가,저가,거래량,변동 %
2000-02-01,103.17,120.48,125.37,100.75,3.12B,-13.36%
2000-03-01,108.03,109.37,116.16,100.82,3.64B,4.71%
2000-04-01,91.21,108.87,111.36,86.34,2.63B,-15.57%
2000-05-01,92.74,92.14,98.19,79.03,3.28B,1.68%
2000-06-01,104.43,92.55,109.55,91.59,6.05B,12.61%
2000-07-01,89.35,104.87,109.4,85.73,6.00B,-14.44%
2000-08-01,86.54,89.75,95.44,83.91,3.44B,-3.14%
2000-09-01,76.37,86.73,87.78,68.24,3.03B,-11.75%
2000-10-01,64,74.02,76.75,59.45,3.92B,-16.20%
2000-11-01,63.48,65.37,72.77,62.25,4.76B,-0.81%
2000-12-01,63.35,61.09,70.45,60.91,2.92B,-0.20%
2001-01-01,77.98,63.33,79.47,62.97,5.95B,23.09%
2001-02-01,72.14,76.45,78.39,71.2,4.07B,-7.49%
2001-03-01,65.16,71.68,72.47,64.38,4.12B,-9.68%
2001-04-01,72.45,64.78,72.97,60.96,3.57B,11.19%
2001-05-01,76.09,73.63,79.02,71.44,5.41B,5.02%
2001-06-01,73.2,76.49,77.22,71.35,3.68B,-3.80%
2001-07-01,66.98,72.87,73.97,63.63,3.65B,-8.50%
2001-08-01,67.42,67.59,72.35,66.97,6.13B,0.66%
2001-09-01,58.91,67.35,69.22,57.02,8.16B,-12.62%
2001-10-01,66.44,61.35,68.1,60.76,7.03B,12.78%
2001-11-01,80.03,66.81,85.02,66.19,11.74B,20.45%
2001-12-01,86.97,79.96,89.8,78.32,7.62B,8.67%
2002-01-01,92.99,87.5,98.69,86.47,10.82B,6.92%
2002-02-01,102.62,94.24,103.5,89.6,6.98B,10.36%
2002-03-01,111.84,105.51,114.33,101.81,7.83B,8.98%
2002-04-01,106.39,112.53,118.61,104.55,6.48B,-4.87%
2002-05-01,100.8,107.96,110.79,100.57,6.90B,-5.25%
2002-06-01,93.69,100.54,104.38,88.24,8.50B,-7.05%
2002-07-01,90.16,91.16,101.82,86.19,23.51B,-3.77%
2002-08-01,92.55,90.56,94.9,82.65,16.98B,2.65%
2002-09-01,81.37,92.98,94.98,80.43,8.81B,-12.08%
2002-10-01,83.1,80.31,86.23,72.38,17.02M,2.13%
2002-11-01,92.05,82.21,92.2,81.25,15.12M,10.77%
2002-12-01,79.87,92.01,93.68,78.1,10.59M,-13.23%
2003-01-01,75.22,80.59,86.6,73.83,6.32M,-5.82%
2003-02-01,72.85,75.25,78.77,71.09,5.87M,-3.15%
2003-03-01,68.05,73.32,74.92,65.25,6.26M,-6.59%
2003-04-01,76.45,67.19,80.04,66.66,6.31M,12.34%
2003-05-01,80.53,76.57,81.33,74.09,4.19M,5.34%
2003-06-01,85.47,81.92,88.16,80.32,4.45M,6.13%
2003-07-01,91.52,84.99,92.94,84.56,4.47M,7.08%
2003-08-01,97.59,92.23,98.47,88.84,3.83M,6.63%
2003-09-01,89.55,98.07,100.06,88.25,2.83M,-8.24%
2003-10-01,101.44,88.65,103.02,88.38,4.30M,13.28%
2003-11-01,103.61,101.55,106.54,97.48,4.51M,2.14%
2003-12-01,105.21,103.58,106.83,99.83,4.22M,1.54%
2004-01-01,110.89,105.9,114.27,105.63,3.29M,5.40%
2004-02-01,115.92,111.16,116.85,108.81,3.90M,4.54%
2004-03-01,115.98,117.22,119.64,107.87,3.72M,0.05%
2004-04-01,112.4,115.75,122.66,110.95,3.00M,-3.09%
2004-05-01,104.14,112.47,114.2,92.63,2.62M,-7.35%
2004-06-01,101.85,104.72,106.52,93.52,3.69M,-2.20%
2004-07-01,95.27,101.68,102.81,92.62,3.32M,-6.46%
2004-08-01,102.89,94.66,104.05,92.49,2.39M,8.00%
2004-09-01,107.69,102.83,111.26,102.67,2.48M,4.67%
2004-10-01,107.99,107.96,115.69,103.25,2.88M,0.28%
2004-11-01,113.4,107.69,115.38,107.53,2.65M,5.01%
2004-12-01,115.25,112.88,115.38,107.61,2.43M,1.63%
2005-01-01,121.06,115.65,121.21,112.07,3.18M,5.04%
2005-02-01,130.85,120.74,130.9,119.41,3.27M,8.09%
2005-03-01,124.78,131.21,132.22,122.51,3.79M,-4.64%
2005-04-01,117.58,124.65,129.01,116.54,1.88M,-5.77%
2005-05-01,124.84,118.29,125.12,117.2,1.70M,6.17%
2005-06-01,129.43,124.06,130.41,124,2.46M,3.68%
2005-07-01,143.32,128.8,143.53,128.56,3.25M,10.73%
2005-08-01,140.09,143.67,147.11,136.31,2.90M,-2.25%
2005-09-01,157.55,141.45,159.97,141.22,3.26M,12.46%
2005-10-01,148.84,158.49,160.68,146.11,2.69M,-5.53%
2005-11-01,165.95,149.9,166.53,149.83,3.32M,11.50%
2005-12-01,177.43,165.68,177.96,164.77,3.31M,6.92%
2006-01-01,180.65,177.79,183.02,166.62,3.69M,1.81%
2006-02-01,177.45,179.4,180.69,167.72,2.44M,-1.77%
2006-03-01,176.21,178.3,178.4,167.39,2.10M,-0.70%
2006-04-01,184.1,176.45,189.29,176.36,2.23M,4.48%
2006-05-01,171.01,184.13,190.2,168.28,2.01M,-7.11%
2006-06-01,167.45,169.84,171.2,153.89,1.82M,-2.08%
2006-07-01,168.51,167.34,171.12,159.34,1.46M,0.63%
2006-08-01,175.44,168.35,176.71,165.86,1.81M,4.11%
2006-09-01,178.05,175.73,178.99,171.71,1.89M,1.49%
2006-10-01,176.84,177.91,179.43,169.57,2.02M,-0.68%
2006-11-01,184.96,177.76,185.41,176.37,2.06M,4.59%
2006-12-01,185.39,185.12,187.07,177.44,1.67M,0.23%
2007-01-01,175.99,186.02,186.15,173.58,1.80M,-5.07%
2007-02-01,183.2,176.89,190.58,176.21,1.63M,4.10%
2007-03-01,187.6,181.87,188.58,177.61,1.81M,2.40%
2007-04-01,198.55,188.05,201.23,187.67,2.30M,5.84%
2007-05-01,216.45,199.76,216.67,199.09,2.28M,9.02%
2007-06-01,221.31,218.01,229.79,217.3,3.08M,2.25%
2007-07-01,244.32,220.88,255.38,220.13,2.79M,10.40%
2007-08-01,238.28,242.63,243.73,207.09,2.31M,-2.47%
2007-09-01,247.2,238.64,247.73,228.41,1.52M,3.74%
2007-10-01,260.42,247.4,261.84,236.86,2.71M,5.35%
2007-11-01,241.91,263.06,263.91,222.51,2.44M,-7.11%
2007-12-01,241.27,241.95,251.89,229.96,1.54M,-0.26%
2008-01-01,207.77,240.47,240.65,200.84,2.04M,-13.88%
2008-02-01,216.85,210.32,221.29,206.86,1.40M,4.37%
2008-03-01,217.65,212.25,218.43,194.85,1.83M,0.37%
2008-04-01,235,217.23,236,216.3,2.18M,7.97%
2008-05-01,237.46,238.74,245.21,229.05,1.94M,1.05%
2008-06-01,213.52,236.91,237.67,212.91,1.71M,-10.08%
