Date,Price
12/31/2001,19.84
12/28/2001,20.41
12/27/2001,20.9
12/26/2001,21.27
12/21/2001,19.62
12/20/2001,19.28
12/19/2001,19.8
12/18/2001,19.36
12/17/2001,19.22
12/14/2001,19.23
12/13/2001,18.12
12/12/2001,18.36
12/11/2001,18.08
12/10/2001,18.37
12/07/2001,19.04
12/06/2001,18.54
12/05/2001,19.49
12/04/2001,19.65
12/03/2001,20.09
11/30/2001,19.44
11/29/2001,18.62
11/28/2001,19.22
11/27/2001,19.48
11/26/2001,18.69
11/21/2001,18.96
11/20/2001,19.15
11/19/2001,17.72
11/16/2001,18.03
11/15/2001,17.45
11/14/2001,19.74
11/13/2001,21.67
11/12/2001,21.23
11/09/2001,22.22
11/08/2001,21.17
11/07/2001,20.09
11/06/2001,19.92
11/05/2001,20.02
11/02/2001,20.18
11/01/2001,20.39
10/31/2001,21.18
10/30/2001,21.87
10/29/2001,22.15
10/26/2001,22.03
10/25/2001,22.01
10/24/2001,22.33
10/23/2001,21.85
10/22/2001,21.76
10/19/2001,21.83
10/18/2001,21.31
10/17/2001,21.81
10/16/2001,22
10/15/2001,22.29
10/12/2001,22.5
10/11/2001,23.34
10/10/2001,22.53
10/09/2001,22.48
10/08/2001,22.45
10/05/2001,22.39
10/04/2001,22.63
10/03/2001,22.08
10/02/2001,22.79
10/01/2001,23.28
09/28/2001,23.43
09/27/2001,22.74
09/26/2001,22.38
09/25/2001,21.81
09/24/2001,22.01
09/21/2001,25.97
09/20/2001,26.59
09/19/2001,26.72
09/18/2001,27.7
09/17/2001,28.81
09/14/2001,29.53
09/10/2001,27.63
09/07/2001,28.03
09/06/2001,27.58
09/05/2001,26.95
09/04/2001,26.93
08/31/2001,27.2
08/30/2001,26.55
08/29/2001,27.05
08/28/2001,27.17
08/27/2001,26.67
08/24/2001,26.9
08/23/2001,26.63
08/22/2001,26.37
08/21/2001,27.91
08/20/2001,27.18
08/17/2001,26.68
08/16/2001,27.4
08/15/2001,27.56
08/14/2001,28.01
08/13/2001,27.82
08/10/2001,28.05
08/09/2001,27.64
08/08/2001,27.54
08/07/2001,27.94
08/06/2001,27.74
08/03/2001,27.62
08/02/2001,27.71
08/01/2001,26.77
07/31/2001,26.35
07/30/2001,26.63
07/27/2001,27.02
07/26/2001,26.73
07/25/2001,26.84
07/24/2001,26.31
07/23/2001,26.12
07/20/2001,25.59
07/19/2001,24.7
07/18/2001,24.89
07/17/2001,25.57
07/16/2001,26.06
07/13/2001,26.59
07/12/2001,26.8
07/11/2001,27.11
07/10/2001,27.49
07/09/2001,27.59
07/06/2001,28.21
07/05/2001,27.02
07/03/2001,26.24
07/02/2001,25.95
06/29/2001,26.25
06/28/2001,25.56
06/27/2001,25.61
06/26/2001,26.98
06/25/2001,27.25
06/22/2001,26.83
06/21/2001,26.56
06/20/2001,26.5
06/19/2001,27.48
06/18/2001,27.55
06/15/2001,28.51
06/14/2001,29.04
06/13/2001,28.84
06/12/2001,29.18
06/11/2001,29.04
06/08/2001,28.33
06/07/2001,27.75
06/06/2001,27.72
06/05/2001,28.24
06/04/2001,28.13
06/01/2001,27.93
05/31/2001,28.37
05/30/2001,28.55
05/29/2001,28.66
05/25/2001,28.38
05/24/2001,28.41
05/23/2001,29.58
05/22/2001,29.74
05/21/2001,29.98
05/18/2001,29.91
05/17/2001,28.91
05/16/2001,28.86
05/15/2001,28.98
05/14/2001,28.71
05/11/2001,28.55
05/10/2001,28.52
05/09/2001,28.23
05/08/2001,27.39
05/07/2001,27.77
05/04/2001,28.36
05/03/2001,28.45
05/02/2001,27.8
05/01/2001,28.94
04/30/2001,28.46
04/27/2001,28.27
04/26/2001,28.44
04/25/2001,27.29
04/24/2001,26.86
04/23/2001,27.61
04/20/2001,27.28
04/19/2001,27.82
04/18/2001,27.95
04/17/2001,28.24
04/16/2001,28.79
04/12/2001,28.25
04/11/2001,28.18
04/10/2001,28.48
04/09/2001,27.28
04/06/2001,27.06
04/05/2001,27.26
04/04/2001,27.12
04/03/2001,26.19
04/02/2001,25.59
03/30/2001,26.29
03/29/2001,26.32
03/28/2001,26.31
03/27/2001,27.75
03/26/2001,27.48
03/23/2001,27.3
03/22/2001,26.54
03/21/2001,26.8
03/20/2001,25.96
03/19/2001,26.15
03/16/2001,26.74
03/15/2001,26.55
03/14/2001,26.41
03/13/2001,27.59
03/12/2001,28
03/09/2001,28.01
03/08/2001,28.39
03/07/2001,29
03/06/2001,28.32
03/05/2001,28.6
03/02/2001,27.84
03/01/2001,27.62
02/28/2001,27.39
02/27/2001,28.13
02/26/2001,28.42
02/23/2001,29.04
02/22/2001,28.82
02/21/2001,28.53
02/20/2001,28.58
02/16/2001,29.16
02/15/2001,28.8
02/14/2001,29.71
02/13/2001,30.36
02/12/2001,30.51
02/09/2001,31.03
02/08/2001,31.59
02/07/2001,31.27
02/06/2001,30.35
02/05/2001,30.55
02/02/2001,31.19
02/01/2001,29.82
01/31/2001,28.66
01/30/2001,29.06
01/29/2001,29.06
01/26/2001,29.77
01/25/2001,29.36
01/24/2001,29.05
01/23/2001,29.57
01/22/2001,32.19
01/19/2001,32.19
01/18/2001,30.45
01/17/2001,29.6
01/16/2001,30.29
01/12/2001,30.05
01/11/2001,29.41
01/10/2001,29.48
01/09/2001,27.64
01/08/2001,27.32
01/05/2001,27.95
01/04/2001,28.14
01/03/2001,28
01/02/2001,27.21
